Series;Time;Value
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:46:05.718;0.33
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:59:55.273;0.26
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:13:49.854;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:27:44.580;0.27
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:41:39.132;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:55:33.631;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:09:28.315;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:23:23.142;0.3
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:37:17.614;0.12
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:51:12.284;0.05
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:05:07.006;0.1
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:19:01.915;0.27
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:32:56.443;0.1
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:46:51.109;0.12
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:00:45.849;0.18
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:14:40.415;0.08
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:28:35.315;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:42:30.164;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:56:24.872;0.03
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T18:10:20.010;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:42:22.190;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:44:13.614;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:46:05.834;0.14
