Series;Time;Value
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:04:17.014;0.38
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:18:11.515;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:32:06.060;0.25
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:46:05.718;0.33
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:59:55.273;0.26
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:13:49.854;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:27:44.580;0.27
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:41:39.132;0.19
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:55:33.631;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:09:28.315;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:23:23.142;0.3
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:37:17.614;0.12
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:03:25.691;0.44
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:05:16.630;0.08
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:07:08.131;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:08:59.380;0.28
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:10:50.559;0.16
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:12:41.952;0.33
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:14:32.999;0.07
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:16:24.250;0.03
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:18:15.596;0.06
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:20:06.918;0.15
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:21:58.349;0.31
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:23:49.649;0.31
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:25:40.800;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:27:32.110;0.24
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:29:23.342;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:31:14.519;0.1
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:33:05.817;0.13
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:34:57.223;0.2
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:36:48.287;0.04
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:38:39.931;0.4
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:40:31.069;0.27
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:42:22.190;0.11
Latency_Arrived_Minus_Generated {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:44:13.614;0.24
