Series;Time;Value
Network_Latency;2019-02-01T18:00:40.612;300
Network_Latency;2019-02-01T18:01:00.629;300
Network_Latency;2019-02-01T18:01:20.633;300
Network_Latency;2019-02-01T18:01:40.632;300
Network_Latency;2019-02-01T18:02:00.622;300
Network_Latency;2019-02-01T18:02:20.627;300
Network_Latency;2019-02-01T18:02:40.631;300
Network_Latency;2019-02-01T18:03:00.631;300
Network_Latency;2019-02-01T18:03:20.640;300
Network_Latency;2019-02-01T18:03:40.637;300
Network_Latency;2019-02-01T18:04:01.655;300
Network_Latency;2019-02-01T18:04:20.642;300
Network_Latency;2019-02-01T18:04:40.650;300
Network_Latency;2019-02-01T18:05:00.710;300
Network_Latency;2019-02-01T18:05:20.651;300
Network_Latency;2019-02-01T18:05:40.654;300
Network_Latency;2019-02-01T18:06:00.657;300
Network_Latency;2019-02-01T18:06:20.664;300
Network_Latency;2019-02-01T18:06:40.671;300
Network_Latency;2019-02-01T18:07:00.702;300
Network_Latency;2019-02-01T18:07:20.674;300
Network_Latency;2019-02-01T18:07:40.676;300
Network_Latency;2019-02-01T18:08:00.688;300
Network_Latency;2019-02-01T18:08:20.707;300
Network_Latency;2019-02-01T18:08:40.711;300
Network_Latency;2019-02-01T18:09:01.748;300
Network_Latency;2019-02-01T18:09:20.693;300
Network_Latency;2019-02-01T18:09:40.696;300
Network_Latency;2019-02-01T18:10:00.699;300
Network_Latency;2019-02-01T18:10:20.704;300
Network_Latency;2019-02-01T18:10:40.706;300
Network_Latency;2019-02-01T18:11:00.713;300
Network_Latency;2019-02-01T18:11:20.731;300
Network_Latency;2019-02-01T18:11:40.714;300
Network_Latency;2019-02-01T18:12:00.737;300
Network_Latency;2019-02-01T18:12:20.735;300
Network_Latency;2019-02-01T18:12:40.734;300
Network_Latency;2019-02-01T18:13:00.726;300
Network_Latency;2019-02-01T18:13:20.730;300
Network_Latency;2019-02-01T18:13:40.735;300
Network_Latency;2019-02-01T18:14:12.844;300
Network_Latency;2019-02-01T18:14:31.498;300
Network_Latency;2019-02-01T18:14:51.507;300
Network_Latency;2019-02-01T18:15:11.507;300
Network_Latency;2019-02-01T18:15:31.510;300
Network_Latency;2019-02-01T18:15:51.535;300
