Series;Time;Value
Number_Operational_Motes;2019-01-31T13:41:01.424;31
Number_Operational_Motes;2019-01-31T13:41:20.576;31
Number_Operational_Motes;2019-01-31T13:41:40.580;31
Number_Operational_Motes;2019-01-31T13:42:00.585;31
Number_Operational_Motes;2019-01-31T13:42:20.591;31
Number_Operational_Motes;2019-01-31T13:42:40.590;31
Number_Operational_Motes;2019-01-31T13:43:00.607;31
Number_Operational_Motes;2019-01-31T13:43:20.601;31
Number_Operational_Motes;2019-01-31T13:43:40.602;31
Number_Operational_Motes;2019-01-31T13:44:00.608;31
Number_Operational_Motes;2019-01-31T13:44:20.612;31
Number_Operational_Motes;2019-01-31T13:44:40.613;31
Number_Operational_Motes;2019-01-31T13:45:00.621;31
Number_Operational_Motes;2019-01-31T13:45:20.622;31
Number_Operational_Motes;2019-01-31T13:45:40.624;31
Number_Operational_Motes;2019-01-31T13:46:06.465;31
Number_Operational_Motes;2019-01-31T13:46:25.591;31
Number_Operational_Motes;2019-01-31T13:46:45.613;31
Number_Operational_Motes;2019-01-31T13:47:05.605;31
Number_Operational_Motes;2019-01-31T13:47:25.690;31
Number_Operational_Motes;2019-01-31T13:47:45.604;31
Number_Operational_Motes;2019-01-31T13:48:05.607;31
Number_Operational_Motes;2019-01-31T13:48:25.660;31
Number_Operational_Motes;2019-01-31T13:48:45.617;31
Number_Operational_Motes;2019-01-31T13:49:05.618;31
Number_Operational_Motes;2019-01-31T13:49:25.622;31
Number_Operational_Motes;2019-01-31T13:49:45.648;31
Number_Operational_Motes;2019-01-31T13:50:05.668;31
Number_Operational_Motes;2019-01-31T13:50:25.628;31
Number_Operational_Motes;2019-01-31T13:50:45.631;31
Number_Operational_Motes;2019-01-31T13:51:06.433;31
Number_Operational_Motes;2019-01-31T13:51:25.638;31
Number_Operational_Motes;2019-01-31T13:51:45.678;31
Number_Operational_Motes;2019-01-31T13:52:05.668;31
Number_Operational_Motes;2019-01-31T13:52:25.646;31
Number_Operational_Motes;2019-01-31T13:52:45.655;31
Number_Operational_Motes;2019-01-31T13:53:05.740;31
Number_Operational_Motes;2019-01-31T13:53:25.708;31
Number_Operational_Motes;2019-01-31T13:53:45.668;31
Number_Operational_Motes;2019-01-31T13:54:05.668;31
Number_Operational_Motes;2019-01-31T13:54:25.701;31
Number_Operational_Motes;2019-01-31T13:54:45.736;31
Number_Operational_Motes;2019-01-31T13:55:05.779;31
Number_Operational_Motes;2019-01-31T13:55:25.688;31
Number_Operational_Motes;2019-01-31T13:55:45.711;31
Number_Operational_Motes;2019-01-31T13:56:06.577;31
Number_Operational_Motes;2019-01-31T13:56:25.772;31
Number_Operational_Motes;2019-01-31T13:56:45.838;31
Number_Operational_Motes;2019-01-31T13:57:05.791;31
Number_Operational_Motes;2019-01-31T13:57:25.712;31
Number_Operational_Motes;2019-01-31T13:57:45.744;31
Number_Operational_Motes;2019-01-31T13:58:05.708;31
Number_Operational_Motes;2019-01-31T13:58:25.752;31
Number_Operational_Motes;2019-01-31T13:58:45.714;31
Number_Operational_Motes;2019-01-31T13:59:05.718;31
Number_Operational_Motes;2019-01-31T13:59:25.718;31
Number_Operational_Motes;2019-01-31T13:59:45.721;31
Number_Operational_Motes;2019-01-31T14:00:05.796;31
Number_Operational_Motes;2019-01-31T14:00:25.740;31
Number_Operational_Motes;2019-01-31T14:00:45.728;31
Number_Operational_Motes;2019-01-31T14:01:11.690;31
Number_Operational_Motes;2019-01-31T14:01:30.672;31
Number_Operational_Motes;2019-01-31T14:01:50.641;31
Number_Operational_Motes;2019-01-31T14:02:10.642;31
Number_Operational_Motes;2019-01-31T14:02:30.645;31
Number_Operational_Motes;2019-01-31T14:02:50.651;31
Number_Operational_Motes;2019-01-31T14:03:10.654;31
Number_Operational_Motes;2019-01-31T14:03:30.660;31
Number_Operational_Motes;2019-01-31T14:03:50.660;31
Number_Operational_Motes;2019-01-31T14:04:10.664;31
Number_Operational_Motes;2019-01-31T14:04:30.671;31
Number_Operational_Motes;2019-01-31T14:04:50.671;31
Number_Operational_Motes;2019-01-31T14:05:10.673;31
Number_Operational_Motes;2019-01-31T14:05:30.676;31
Number_Operational_Motes;2019-01-31T14:05:50.711;31
Number_Operational_Motes;2019-01-31T14:06:11.485;31
Number_Operational_Motes;2019-01-31T14:06:30.686;31
Number_Operational_Motes;2019-01-31T14:06:50.690;31
Number_Operational_Motes;2019-01-31T14:07:10.691;31
Number_Operational_Motes;2019-01-31T14:07:30.694;31
Number_Operational_Motes;2019-01-31T14:07:50.699;31
Number_Operational_Motes;2019-01-31T14:08:10.702;31
Number_Operational_Motes;2019-01-31T14:08:30.706;31
Number_Operational_Motes;2019-01-31T14:08:50.711;31
Number_Operational_Motes;2019-01-31T14:09:10.712;31
Number_Operational_Motes;2019-01-31T14:09:30.741;31
Number_Operational_Motes;2019-01-31T14:09:50.719;31
Number_Operational_Motes;2019-01-31T14:10:10.725;31
Number_Operational_Motes;2019-01-31T14:10:30.731;31
Number_Operational_Motes;2019-01-31T14:10:50.730;31
Number_Operational_Motes;2019-01-31T14:11:11.552;31
Number_Operational_Motes;2019-01-31T14:11:30.737;31
Number_Operational_Motes;2019-01-31T14:11:50.741;31
Number_Operational_Motes;2019-01-31T14:12:10.742;31
Number_Operational_Motes;2019-01-31T14:12:30.746;31
Number_Operational_Motes;2019-01-31T14:12:50.760;31
Number_Operational_Motes;2019-01-31T14:13:10.765;31
Number_Operational_Motes;2019-01-31T14:13:30.760;31
Number_Operational_Motes;2019-01-31T14:13:50.770;31
Number_Operational_Motes;2019-01-31T14:14:10.768;31
Number_Operational_Motes;2019-01-31T14:14:30.776;31
Number_Operational_Motes;2019-01-31T14:14:50.767;31
Number_Operational_Motes;2019-01-31T14:15:10.793;31
Number_Operational_Motes;2019-01-31T14:15:30.777;31
