Series;Time;Value
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:12:53.401;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:13:13.233;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:13:33.257;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:13:53.289;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:14:13.411;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:14:33.363;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:14:53.394;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:15:13.446;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:15:33.455;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:15:53.509;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:16:13.500;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:16:33.537;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:16:53.573;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:17:13.604;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:17:33.689;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:17:58.669;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:18:18.713;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:18:38.740;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:18:58.756;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:19:18.796;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:19:38.821;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:19:58.850;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:20:18.901;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:20:38.912;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:20:58.948;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:21:19.025;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:21:39.003;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:21:59.060;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:22:19.083;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:25:04.011;1.4
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:25:24.040;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:26:04.040;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:26:24.077;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:27:04.087;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:27:24.123;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:28:29.063;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:28:49.083;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:30:08.976;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:31:48.965;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:32:09.004;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:32:29.039;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:32:49.066;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:33:14.118;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:33:34.189;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:34:14.225;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:34:34.260;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:34:54.301;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:35:14.320;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:35:34.358;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:35:54.388;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:36:14.423;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:36:34.453;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:36:54.490;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:37:14.515;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:37:34.548;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:37:54.578;1.4
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:38:19.616;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:38:39.652;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:38:59.681;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:39:19.715;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:39:39.742;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:40:39.782;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:40:59.815;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:41:19.839;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:41:39.873;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:41:59.908;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:42:19.939;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:42:39.970;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:42:59.997;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:43:25.052;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:43:45.080;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:44:05.113;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:44:25.137;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:44:45.167;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:45:05.199;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:45:25.229;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:46:05.295;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:46:45.361;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:47:25.418;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:47:45.445;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:48:05.511;1.1
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:48:30.506;1.3
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:48:50.536;1.2
Hops {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T14:49:10.564;1.3
