Series;Time;Value
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:40:47.452;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:41:02.507;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:41:17.554;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:41:32.599;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:41:47.803;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:42:02.692;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:42:17.738;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:42:32.819;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:42:47.844;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:43:02.889;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:43:17.977;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:43:32.996;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:43:48.044;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:44:03.084;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:44:18.150;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:44:33.171;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:44:48.217;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:45:03.264;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:45:18.307;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:45:33.351;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:45:48.404;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:46:06.559;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:46:20.691;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:46:35.834;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:46:50.790;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:47:05.840;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:47:20.879;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:47:35.989;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:47:50.981;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:48:06.039;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:48:21.109;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:48:36.135;0
Packets_Lost {mote: 00-17-0D-00-00-30-DA-BE};2019-01-31T13:48:51.171;0
