Series;Time;Value
Number_Operational_Motes;2019-02-01T18:00:40.612;30
Number_Operational_Motes;2019-02-01T18:01:00.629;30
Number_Operational_Motes;2019-02-01T18:01:20.633;30
Number_Operational_Motes;2019-02-01T18:01:40.632;30
Number_Operational_Motes;2019-02-01T18:02:00.622;30
Number_Operational_Motes;2019-02-01T18:02:20.627;30
Number_Operational_Motes;2019-02-01T18:02:40.631;30
Number_Operational_Motes;2019-02-01T18:03:00.631;30
Number_Operational_Motes;2019-02-01T18:03:20.640;30
Number_Operational_Motes;2019-02-01T18:03:40.637;30
Number_Operational_Motes;2019-02-01T18:04:01.655;30
Number_Operational_Motes;2019-02-01T18:04:20.642;30
Number_Operational_Motes;2019-02-01T18:04:40.650;30
Number_Operational_Motes;2019-02-01T18:05:00.710;30
Number_Operational_Motes;2019-02-01T18:05:20.651;30
Number_Operational_Motes;2019-02-01T18:05:40.654;30
Number_Operational_Motes;2019-02-01T18:06:00.657;30
Number_Operational_Motes;2019-02-01T18:06:20.664;30
Number_Operational_Motes;2019-02-01T18:06:40.671;30
Number_Operational_Motes;2019-02-01T18:07:00.702;30
Number_Operational_Motes;2019-02-01T18:07:20.674;30
Number_Operational_Motes;2019-02-01T18:07:40.676;30
Number_Operational_Motes;2019-02-01T18:08:00.688;30
Number_Operational_Motes;2019-02-01T18:08:20.707;30
Number_Operational_Motes;2019-02-01T18:08:40.711;30
Number_Operational_Motes;2019-02-01T18:09:01.748;30
Number_Operational_Motes;2019-02-01T18:09:20.693;30
Number_Operational_Motes;2019-02-01T18:09:40.696;30
Number_Operational_Motes;2019-02-01T18:10:00.699;30
Number_Operational_Motes;2019-02-01T18:10:20.704;30
Number_Operational_Motes;2019-02-01T18:10:40.706;30
Number_Operational_Motes;2019-02-01T18:11:00.713;30
Number_Operational_Motes;2019-02-01T18:11:20.731;30
Number_Operational_Motes;2019-02-01T18:11:40.714;30
Number_Operational_Motes;2019-02-01T18:12:00.737;30
Number_Operational_Motes;2019-02-01T18:12:20.735;30
Number_Operational_Motes;2019-02-01T18:12:40.734;30
Number_Operational_Motes;2019-02-01T18:13:00.726;30
Number_Operational_Motes;2019-02-01T18:13:20.730;30
Number_Operational_Motes;2019-02-01T18:13:40.735;30
Number_Operational_Motes;2019-02-01T18:14:12.844;30
Number_Operational_Motes;2019-02-01T18:14:31.498;30
Number_Operational_Motes;2019-02-01T18:14:51.507;30
Number_Operational_Motes;2019-02-01T18:15:11.507;30
Number_Operational_Motes;2019-02-01T18:15:31.510;30
Number_Operational_Motes;2019-02-01T18:15:51.535;30
Number_Operational_Motes;2019-02-01T18:16:11.515;30
Number_Operational_Motes;2019-02-01T18:16:31.525;30
Number_Operational_Motes;2019-02-01T18:16:51.521;30
Number_Operational_Motes;2019-02-01T18:17:11.536;30
Number_Operational_Motes;2019-02-01T18:17:31.537;30
Number_Operational_Motes;2019-02-01T18:17:51.527;30
Number_Operational_Motes;2019-02-01T18:18:11.532;30
Number_Operational_Motes;2019-02-01T18:18:31.547;30
Number_Operational_Motes;2019-02-01T18:18:51.547;30
Number_Operational_Motes;2019-02-01T18:19:12.866;30
Number_Operational_Motes;2019-02-01T18:19:31.549;30
Number_Operational_Motes;2019-02-01T18:19:51.566;30
