Series;Time;Value
Number_Operational_Motes;2019-02-08T14:23:05.067;33
Number_Operational_Motes;2019-02-08T14:23:25.168;33
Number_Operational_Motes;2019-02-08T14:23:45.108;33
Number_Operational_Motes;2019-02-08T14:24:05.098;33
Number_Operational_Motes;2019-02-08T14:24:25.078;33
Number_Operational_Motes;2019-02-08T14:24:45.081;33
Number_Operational_Motes;2019-02-08T14:25:06.277;33
Number_Operational_Motes;2019-02-08T14:25:25.085;33
Number_Operational_Motes;2019-02-08T14:25:45.087;33
Number_Operational_Motes;2019-02-08T14:26:05.092;33
Number_Operational_Motes;2019-02-08T14:26:25.095;33
Number_Operational_Motes;2019-02-08T14:26:45.180;33
Number_Operational_Motes;2019-02-08T14:27:05.107;33
Number_Operational_Motes;2019-02-08T14:27:25.539;33
Number_Operational_Motes;2019-02-08T14:27:45.126;33
Number_Operational_Motes;2019-02-08T14:28:05.131;33
Number_Operational_Motes;2019-02-08T14:28:25.669;33
Number_Operational_Motes;2019-02-08T14:28:45.119;33
Number_Operational_Motes;2019-02-08T14:29:05.122;33
Number_Operational_Motes;2019-02-08T14:29:25.865;33
Number_Operational_Motes;2019-02-08T14:29:45.127;33
Number_Operational_Motes;2019-02-08T14:30:11.985;33
Number_Operational_Motes;2019-02-08T14:30:30.157;33
Number_Operational_Motes;2019-02-08T14:30:50.151;33
Number_Operational_Motes;2019-02-08T14:31:10.689;33
Number_Operational_Motes;2019-02-08T14:31:30.170;33
Number_Operational_Motes;2019-02-08T14:31:50.167;33
Number_Operational_Motes;2019-02-08T14:32:11.010;33
Number_Operational_Motes;2019-02-08T14:32:30.178;33
Number_Operational_Motes;2019-02-08T14:32:50.189;33
Number_Operational_Motes;2019-02-08T14:33:11.210;33
Number_Operational_Motes;2019-02-08T14:33:30.186;33
Number_Operational_Motes;2019-02-08T14:33:50.186;33
Number_Operational_Motes;2019-02-08T14:34:10.186;33
Number_Operational_Motes;2019-02-08T14:34:30.210;33
Number_Operational_Motes;2019-02-08T14:34:50.192;33
Number_Operational_Motes;2019-02-08T14:35:11.347;33
Number_Operational_Motes;2019-02-08T14:35:30.215;33
Number_Operational_Motes;2019-02-08T14:35:50.207;33
Number_Operational_Motes;2019-02-08T14:36:10.221;33
Number_Operational_Motes;2019-02-08T14:36:30.262;33
Number_Operational_Motes;2019-02-08T14:36:50.210;33
Number_Operational_Motes;2019-02-08T14:37:10.206;33
Number_Operational_Motes;2019-02-08T14:37:30.254;33
Number_Operational_Motes;2019-02-08T14:37:50.211;33
Number_Operational_Motes;2019-02-08T14:38:10.219;33
Number_Operational_Motes;2019-02-08T14:38:30.312;33
Number_Operational_Motes;2019-02-08T14:38:50.227;33
Number_Operational_Motes;2019-02-08T14:39:10.234;33
Number_Operational_Motes;2019-02-08T14:39:30.392;33
Number_Operational_Motes;2019-02-08T14:39:50.239;33
Number_Operational_Motes;2019-02-08T14:40:11.654;33
Number_Operational_Motes;2019-02-08T14:40:30.860;33
Number_Operational_Motes;2019-02-08T14:40:50.242;33
Number_Operational_Motes;2019-02-08T14:41:10.244;33
Number_Operational_Motes;2019-02-08T14:41:30.924;33
Number_Operational_Motes;2019-02-08T14:41:50.248;33
Number_Operational_Motes;2019-02-08T14:42:10.251;33
Number_Operational_Motes;2019-02-08T14:42:31.212;33
Number_Operational_Motes;2019-02-08T14:42:50.272;33
Number_Operational_Motes;2019-02-08T14:43:10.283;33
Number_Operational_Motes;2019-02-08T14:43:30.283;33
Number_Operational_Motes;2019-02-08T14:43:50.273;33
Number_Operational_Motes;2019-02-08T14:44:10.276;33
Number_Operational_Motes;2019-02-08T14:44:30.282;33
Number_Operational_Motes;2019-02-08T14:44:50.283;33
Number_Operational_Motes;2019-02-08T14:45:16.261;33
Number_Operational_Motes;2019-02-08T14:45:35.093;33
Number_Operational_Motes;2019-02-08T14:45:55.123;33
Number_Operational_Motes;2019-02-08T14:46:15.098;33
Number_Operational_Motes;2019-02-08T14:46:35.102;33
Number_Operational_Motes;2019-02-08T14:46:55.108;33
Number_Operational_Motes;2019-02-08T14:47:15.111;33
Number_Operational_Motes;2019-02-08T14:47:35.129;33
Number_Operational_Motes;2019-02-08T14:47:55.119;33
Number_Operational_Motes;2019-02-08T14:48:15.119;33
Number_Operational_Motes;2019-02-08T14:48:35.122;33
Number_Operational_Motes;2019-02-08T14:48:55.130;33
Number_Operational_Motes;2019-02-08T14:49:15.178;33
Number_Operational_Motes;2019-02-08T14:49:35.139;33
Number_Operational_Motes;2019-02-08T14:49:55.140;33
Number_Operational_Motes;2019-02-08T14:50:16.414;33
Number_Operational_Motes;2019-02-08T14:50:35.186;33
Number_Operational_Motes;2019-02-08T14:50:55.246;33
Number_Operational_Motes;2019-02-08T14:51:15.155;33
Number_Operational_Motes;2019-02-08T14:51:35.658;33
Number_Operational_Motes;2019-02-08T14:51:55.161;33
Number_Operational_Motes;2019-02-08T14:52:15.168;33
Number_Operational_Motes;2019-02-08T14:52:35.991;33
Number_Operational_Motes;2019-02-08T14:52:55.169;33
Number_Operational_Motes;2019-02-08T14:53:15.174;33
Number_Operational_Motes;2019-02-08T14:53:36.069;33
Number_Operational_Motes;2019-02-08T14:53:55.194;33
Number_Operational_Motes;2019-02-08T14:54:15.210;33
Number_Operational_Motes;2019-02-08T14:54:35.205;33
Number_Operational_Motes;2019-02-08T14:54:55.218;33
Number_Operational_Motes;2019-02-08T14:55:16.314;33
Number_Operational_Motes;2019-02-08T14:55:35.204;33
Number_Operational_Motes;2019-02-08T14:55:55.246;33
Number_Operational_Motes;2019-02-08T14:56:15.218;33
Number_Operational_Motes;2019-02-08T14:56:35.203;33
Number_Operational_Motes;2019-02-08T14:56:55.248;33
Number_Operational_Motes;2019-02-08T14:57:15.210;33
Number_Operational_Motes;2019-02-08T14:57:35.227;33
Number_Operational_Motes;2019-02-08T14:57:55.298;33
Number_Operational_Motes;2019-02-08T14:58:15.221;33
Number_Operational_Motes;2019-02-08T14:58:35.275;33
Number_Operational_Motes;2019-02-08T14:58:55.246;33
Number_Operational_Motes;2019-02-08T14:59:15.289;33
Number_Operational_Motes;2019-02-08T14:59:35.270;33
Number_Operational_Motes;2019-02-08T14:59:55.274;33
Number_Operational_Motes;2019-02-08T15:00:21.511;33
Number_Operational_Motes;2019-02-08T15:00:40.445;33
Number_Operational_Motes;2019-02-08T15:01:00.447;33
Number_Operational_Motes;2019-02-08T15:01:20.753;33
Number_Operational_Motes;2019-02-08T15:01:40.451;33
Number_Operational_Motes;2019-02-08T15:02:00.462;33
Number_Operational_Motes;2019-02-08T15:02:20.457;33
Number_Operational_Motes;2019-02-08T15:02:40.460;33
Number_Operational_Motes;2019-02-08T15:03:00.463;33
Number_Operational_Motes;2019-02-08T15:03:20.470;33
Number_Operational_Motes;2019-02-08T15:03:40.504;33
Number_Operational_Motes;2019-02-08T15:04:00.474;33
Number_Operational_Motes;2019-02-08T15:04:20.596;33
Number_Operational_Motes;2019-02-08T15:04:40.492;33
Number_Operational_Motes;2019-02-08T15:05:00.492;33
Number_Operational_Motes;2019-02-08T15:05:21.738;33
Number_Operational_Motes;2019-02-08T15:05:40.508;33
Number_Operational_Motes;2019-02-08T15:06:00.519;33
Number_Operational_Motes;2019-02-08T15:06:20.567;33
Number_Operational_Motes;2019-02-08T15:06:40.590;33
Number_Operational_Motes;2019-02-08T15:07:00.533;33
Number_Operational_Motes;2019-02-08T15:07:20.531;33
Number_Operational_Motes;2019-02-08T15:07:40.526;33
Number_Operational_Motes;2019-02-08T15:08:00.532;33
Number_Operational_Motes;2019-02-08T15:08:20.603;33
Number_Operational_Motes;2019-02-08T15:08:40.578;33
Number_Operational_Motes;2019-02-08T15:09:00.526;33
Number_Operational_Motes;2019-02-08T15:09:20.528;33
Number_Operational_Motes;2019-02-08T15:09:40.531;33
Number_Operational_Motes;2019-02-08T15:10:00.532;33
Number_Operational_Motes;2019-02-08T15:10:21.764;33
Number_Operational_Motes;2019-02-08T15:10:40.551;33
Number_Operational_Motes;2019-02-08T15:11:00.541;33
Number_Operational_Motes;2019-02-08T15:11:20.541;33
Number_Operational_Motes;2019-02-08T15:11:40.543;33
Number_Operational_Motes;2019-02-08T15:12:00.545;33
Number_Operational_Motes;2019-02-08T15:12:20.550;33
Number_Operational_Motes;2019-02-08T15:12:40.551;33
Number_Operational_Motes;2019-02-08T15:13:00.563;33
Number_Operational_Motes;2019-02-08T15:13:20.581;33
Number_Operational_Motes;2019-02-08T15:13:40.584;33
Number_Operational_Motes;2019-02-08T15:14:00.564;33
Number_Operational_Motes;2019-02-08T15:14:20.567;33
Number_Operational_Motes;2019-02-08T15:14:40.582;33
Number_Operational_Motes;2019-02-08T15:15:00.572;33
Number_Operational_Motes;2019-02-08T15:15:26.724;33
Number_Operational_Motes;2019-02-08T15:15:45.378;33
Number_Operational_Motes;2019-02-08T15:16:05.381;33
Number_Operational_Motes;2019-02-08T15:16:25.384;33
Number_Operational_Motes;2019-02-08T15:16:45.407;33
Number_Operational_Motes;2019-02-08T15:17:05.390;33
Number_Operational_Motes;2019-02-08T15:17:25.391;33
Number_Operational_Motes;2019-02-08T15:17:45.396;33
Number_Operational_Motes;2019-02-08T15:18:05.405;33
Number_Operational_Motes;2019-02-08T15:18:25.424;33
Number_Operational_Motes;2019-02-08T15:18:45.423;33
Number_Operational_Motes;2019-02-08T15:19:05.452;33
Number_Operational_Motes;2019-02-08T15:19:25.409;33
Number_Operational_Motes;2019-02-08T15:19:45.412;33
Number_Operational_Motes;2019-02-08T15:20:05.444;33
Number_Operational_Motes;2019-02-08T15:20:26.653;33
Number_Operational_Motes;2019-02-08T15:20:45.429;33
Number_Operational_Motes;2019-02-08T15:21:05.425;33
Number_Operational_Motes;2019-02-08T15:21:25.427;33
Number_Operational_Motes;2019-02-08T15:21:45.458;33
Number_Operational_Motes;2019-02-08T15:22:05.432;33
Number_Operational_Motes;2019-02-08T15:22:25.458;33
Number_Operational_Motes;2019-02-08T15:22:45.437;33
Number_Operational_Motes;2019-02-08T15:23:05.441;33
Number_Operational_Motes;2019-02-08T15:23:25.485;33
Number_Operational_Motes;2019-02-08T15:23:45.458;33
Number_Operational_Motes;2019-02-08T15:24:05.457;33
Number_Operational_Motes;2019-02-08T15:24:25.458;33
Number_Operational_Motes;2019-02-08T15:24:45.460;33
Number_Operational_Motes;2019-02-08T15:25:05.499;33
Number_Operational_Motes;2019-02-08T15:25:26.568;33
Number_Operational_Motes;2019-02-08T15:25:45.478;33
Number_Operational_Motes;2019-02-08T15:26:05.490;33
Number_Operational_Motes;2019-02-08T15:26:25.479;33
Number_Operational_Motes;2019-02-08T15:26:45.499;33
Number_Operational_Motes;2019-02-08T15:27:05.508;33
Number_Operational_Motes;2019-02-08T15:27:25.519;33
Number_Operational_Motes;2019-02-08T15:27:45.510;33
Number_Operational_Motes;2019-02-08T15:28:05.518;33
Number_Operational_Motes;2019-02-08T15:28:25.533;33
Number_Operational_Motes;2019-02-08T15:28:45.500;33
Number_Operational_Motes;2019-02-08T15:29:05.501;33
Number_Operational_Motes;2019-02-08T15:29:25.508;33
Number_Operational_Motes;2019-02-08T15:29:45.507;33
Number_Operational_Motes;2019-02-08T15:30:05.532;33
Number_Operational_Motes;2019-02-08T15:30:32.779;33
Number_Operational_Motes;2019-02-08T15:30:51.700;33
Number_Operational_Motes;2019-02-08T15:31:11.709;33
Number_Operational_Motes;2019-02-08T15:31:32.469;33
Number_Operational_Motes;2019-02-08T15:31:51.718;33
Number_Operational_Motes;2019-02-08T15:32:11.719;33
Number_Operational_Motes;2019-02-08T15:32:31.721;33
