Series;Time;Value
Number_Operational_Motes;2019-01-31T13:03:09.948;31
Number_Operational_Motes;2019-01-31T13:03:29.923;31
Number_Operational_Motes;2019-01-31T13:03:49.925;31
Number_Operational_Motes;2019-01-31T13:04:09.927;31
Number_Operational_Motes;2019-01-31T13:04:29.958;31
Number_Operational_Motes;2019-01-31T13:04:49.989;31
Number_Operational_Motes;2019-01-31T13:05:10.016;31
Number_Operational_Motes;2019-01-31T13:05:30.050;31
Number_Operational_Motes;2019-01-31T13:05:50.818;31
Number_Operational_Motes;2019-01-31T13:06:09.949;31
Number_Operational_Motes;2019-01-31T13:06:29.951;31
Number_Operational_Motes;2019-01-31T13:06:49.973;31
Number_Operational_Motes;2019-01-31T13:07:09.976;31
Number_Operational_Motes;2019-01-31T13:07:29.956;31
Number_Operational_Motes;2019-01-31T13:07:49.960;31
Number_Operational_Motes;2019-01-31T13:08:09.962;31
Number_Operational_Motes;2019-01-31T13:08:29.963;31
Number_Operational_Motes;2019-01-31T13:08:49.966;31
Number_Operational_Motes;2019-01-31T13:09:09.969;31
Number_Operational_Motes;2019-01-31T13:09:29.977;31
Number_Operational_Motes;2019-01-31T13:09:49.974;31
Number_Operational_Motes;2019-01-31T13:10:09.979;31
Number_Operational_Motes;2019-01-31T13:10:29.985;31
Number_Operational_Motes;2019-01-31T13:10:51.047;31
Number_Operational_Motes;2019-01-31T13:11:09.996;31
Number_Operational_Motes;2019-01-31T13:11:30.002;31
Number_Operational_Motes;2019-01-31T13:11:50.003;31
Number_Operational_Motes;2019-01-31T13:12:10.001;31
Number_Operational_Motes;2019-01-31T13:12:30.018;31
Number_Operational_Motes;2019-01-31T13:12:50.011;31
Number_Operational_Motes;2019-01-31T13:13:10.013;31
Number_Operational_Motes;2019-01-31T13:13:30.021;31
Number_Operational_Motes;2019-01-31T13:13:50.019;31
Number_Operational_Motes;2019-01-31T13:14:10.020;31
Number_Operational_Motes;2019-01-31T13:14:30.049;31
Number_Operational_Motes;2019-01-31T13:14:50.028;31
Number_Operational_Motes;2019-01-31T13:15:10.030;31
Number_Operational_Motes;2019-01-31T13:15:30.033;31
Number_Operational_Motes;2019-01-31T13:15:55.980;31
Number_Operational_Motes;2019-01-31T13:16:15.022;31
Number_Operational_Motes;2019-01-31T13:16:35.057;31
Number_Operational_Motes;2019-01-31T13:16:55.025;30
Number_Operational_Motes;2019-01-31T13:17:15.028;30
Number_Operational_Motes;2019-01-31T13:17:35.313;30
Number_Operational_Motes;2019-01-31T13:17:55.044;30
Number_Operational_Motes;2019-01-31T13:18:15.034;30
Number_Operational_Motes;2019-01-31T13:18:35.035;30
Number_Operational_Motes;2019-01-31T13:18:55.038;30
Number_Operational_Motes;2019-01-31T13:19:15.061;30
Number_Operational_Motes;2019-01-31T13:19:35.046;30
Number_Operational_Motes;2019-01-31T13:19:55.048;30
Number_Operational_Motes;2019-01-31T13:20:15.052;30
Number_Operational_Motes;2019-01-31T13:20:35.047;30
Number_Operational_Motes;2019-01-31T13:20:55.961;30
Number_Operational_Motes;2019-01-31T13:21:15.067;30
Number_Operational_Motes;2019-01-31T13:21:35.071;30
Number_Operational_Motes;2019-01-31T13:21:55.074;30
Number_Operational_Motes;2019-01-31T13:22:15.078;30
Number_Operational_Motes;2019-01-31T13:22:35.142;30
Number_Operational_Motes;2019-01-31T13:22:55.091;30
Number_Operational_Motes;2019-01-31T13:23:15.104;30
Number_Operational_Motes;2019-01-31T13:23:35.094;30
Number_Operational_Motes;2019-01-31T13:23:55.098;30
Number_Operational_Motes;2019-01-31T13:24:15.118;30
Number_Operational_Motes;2019-01-31T13:24:35.101;30
Number_Operational_Motes;2019-01-31T13:24:55.103;30
Number_Operational_Motes;2019-01-31T13:25:15.107;30
Number_Operational_Motes;2019-01-31T13:25:35.108;30
Number_Operational_Motes;2019-01-31T13:25:55.948;30
Number_Operational_Motes;2019-01-31T13:26:15.113;30
Number_Operational_Motes;2019-01-31T13:26:35.118;30
Number_Operational_Motes;2019-01-31T13:26:55.118;30
Number_Operational_Motes;2019-01-31T13:27:15.120;30
Number_Operational_Motes;2019-01-31T13:27:35.163;30
Number_Operational_Motes;2019-01-31T13:27:55.127;30
Number_Operational_Motes;2019-01-31T13:28:15.139;30
Number_Operational_Motes;2019-01-31T13:28:35.131;30
Number_Operational_Motes;2019-01-31T13:28:55.135;30
Number_Operational_Motes;2019-01-31T13:29:15.164;30
Number_Operational_Motes;2019-01-31T13:29:35.140;30
Number_Operational_Motes;2019-01-31T13:29:55.147;30
Number_Operational_Motes;2019-01-31T13:30:15.147;30
Number_Operational_Motes;2019-01-31T13:30:35.178;30
Number_Operational_Motes;2019-01-31T13:31:01.460;31
Number_Operational_Motes;2019-01-31T13:31:20.484;31
Number_Operational_Motes;2019-01-31T13:31:40.487;31
Number_Operational_Motes;2019-01-31T13:32:00.491;31
Number_Operational_Motes;2019-01-31T13:32:20.494;31
Number_Operational_Motes;2019-01-31T13:32:40.496;31
Number_Operational_Motes;2019-01-31T13:33:00.498;31
Number_Operational_Motes;2019-01-31T13:33:20.500;31
Number_Operational_Motes;2019-01-31T13:33:40.502;31
Number_Operational_Motes;2019-01-31T13:34:00.505;31
Number_Operational_Motes;2019-01-31T13:34:20.507;31
Number_Operational_Motes;2019-01-31T13:34:40.512;31
Number_Operational_Motes;2019-01-31T13:35:00.514;31
Number_Operational_Motes;2019-01-31T13:35:20.518;31
Number_Operational_Motes;2019-01-31T13:35:40.525;31
Number_Operational_Motes;2019-01-31T13:36:01.409;31
Number_Operational_Motes;2019-01-31T13:36:20.531;31
Number_Operational_Motes;2019-01-31T13:36:40.533;31
Number_Operational_Motes;2019-01-31T13:37:00.554;31
Number_Operational_Motes;2019-01-31T13:37:20.540;31
Number_Operational_Motes;2019-01-31T13:37:40.544;31
Number_Operational_Motes;2019-01-31T13:38:00.560;31
Number_Operational_Motes;2019-01-31T13:38:20.555;31
Number_Operational_Motes;2019-01-31T13:38:40.560;31
Number_Operational_Motes;2019-01-31T13:39:00.559;31
Number_Operational_Motes;2019-01-31T13:39:20.562;31
Number_Operational_Motes;2019-01-31T13:39:40.565;31
Number_Operational_Motes;2019-01-31T13:40:00.566;31
Number_Operational_Motes;2019-01-31T13:40:20.571;31
Number_Operational_Motes;2019-01-31T13:40:40.573;31
Number_Operational_Motes;2019-01-31T13:41:01.424;31
Number_Operational_Motes;2019-01-31T13:41:20.576;31
Number_Operational_Motes;2019-01-31T13:41:40.580;31
Number_Operational_Motes;2019-01-31T13:42:00.585;31
Number_Operational_Motes;2019-01-31T13:42:20.591;31
Number_Operational_Motes;2019-01-31T13:42:40.590;31
Number_Operational_Motes;2019-01-31T13:43:00.607;31
Number_Operational_Motes;2019-01-31T13:43:20.601;31
Number_Operational_Motes;2019-01-31T13:43:40.602;31
Number_Operational_Motes;2019-01-31T13:44:00.608;31
Number_Operational_Motes;2019-01-31T13:44:20.612;31
Number_Operational_Motes;2019-01-31T13:44:40.613;31
Number_Operational_Motes;2019-01-31T13:45:00.621;31
Number_Operational_Motes;2019-01-31T13:45:20.622;31
Number_Operational_Motes;2019-01-31T13:45:40.624;31
Number_Operational_Motes;2019-01-31T13:46:06.465;31
Number_Operational_Motes;2019-01-31T13:46:25.591;31
Number_Operational_Motes;2019-01-31T13:46:45.613;31
Number_Operational_Motes;2019-01-31T13:47:05.605;31
Number_Operational_Motes;2019-01-31T13:47:25.690;31
Number_Operational_Motes;2019-01-31T13:47:45.604;31
Number_Operational_Motes;2019-01-31T13:48:05.607;31
Number_Operational_Motes;2019-01-31T13:48:25.660;31
Number_Operational_Motes;2019-01-31T13:48:45.617;31
Number_Operational_Motes;2019-01-31T13:49:05.618;31
