Series;Time;Value
Number_Operational_Motes;2019-02-11T20:00:13.999;33
Number_Operational_Motes;2019-02-11T20:00:33.887;33
Number_Operational_Motes;2019-02-11T20:00:53.855;33
Number_Operational_Motes;2019-02-11T20:01:14.182;33
Number_Operational_Motes;2019-02-11T20:01:33.877;33
Number_Operational_Motes;2019-02-11T20:01:53.884;33
Number_Operational_Motes;2019-02-11T20:02:14.470;33
Number_Operational_Motes;2019-02-11T20:02:35.023;33
Number_Operational_Motes;2019-02-11T20:02:53.893;33
Number_Operational_Motes;2019-02-11T20:03:15.742;33
Number_Operational_Motes;2019-02-11T20:03:34.033;33
Number_Operational_Motes;2019-02-11T20:03:53.905;33
Number_Operational_Motes;2019-02-11T20:04:13.929;33
Number_Operational_Motes;2019-02-11T20:04:33.905;33
Number_Operational_Motes;2019-02-11T20:04:53.986;33
Number_Operational_Motes;2019-02-11T20:05:13.962;33
Number_Operational_Motes;2019-02-11T20:05:33.931;33
Number_Operational_Motes;2019-02-11T20:05:53.973;33
Number_Operational_Motes;2019-02-11T20:06:13.930;33
Number_Operational_Motes;2019-02-11T20:06:33.950;33
Number_Operational_Motes;2019-02-11T20:06:53.974;33
Number_Operational_Motes;2019-02-11T20:07:14.010;33
Number_Operational_Motes;2019-02-11T20:07:41.308;33
Number_Operational_Motes;2019-02-11T20:08:01.342;33
Number_Operational_Motes;2019-02-11T20:08:20.156;33
Number_Operational_Motes;2019-02-11T20:08:40.144;33
Number_Operational_Motes;2019-02-11T20:09:00.273;33
Number_Operational_Motes;2019-02-11T20:09:20.177;33
Number_Operational_Motes;2019-02-11T20:09:40.158;33
Number_Operational_Motes;2019-02-11T20:10:00.231;33
Number_Operational_Motes;2019-02-11T20:10:20.159;33
Number_Operational_Motes;2019-02-11T20:10:40.188;33
Number_Operational_Motes;2019-02-11T20:11:00.155;33
Number_Operational_Motes;2019-02-11T20:11:20.219;33
Number_Operational_Motes;2019-02-11T20:11:40.210;33
Number_Operational_Motes;2019-02-11T20:12:00.299;33
