Series;Time;Value
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:46:05.718;839.59
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:59:55.273;829.62
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:13:49.854;834.58
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:27:44.580;834.72
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:41:39.132;834.56
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:55:33.631;834.5
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:09:28.315;834.69
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:23:23.142;834.83
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:37:17.614;834.46
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:51:12.284;834.67
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:05:07.006;834.72
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:19:01.915;834.91
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:32:56.443;834.52
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T16:46:51.109;834.67
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:00:45.849;834.73
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:14:40.415;834.58
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:28:35.315;834.89
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:42:30.164;834.86
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T17:56:24.872;834.7
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T18:10:20.010;835.13
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:42:22.190;111.11
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:44:13.614;111.42
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:46:05.834;112.07
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:47:56.101;110.42
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:49:47.525;111.43
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:51:38.566;111.04
