Series;Time;Value
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:04:17.014;834.74
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:18:11.515;834.5
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:32:06.060;834.56
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:46:05.718;839.59
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T13:59:55.273;829.62
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:13:49.854;834.58
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:27:44.580;834.72
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:41:39.132;834.56
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T14:55:33.631;834.5
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:09:28.315;834.69
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:23:23.142;834.83
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 1010/9000, sampling_rate: 900};2019-01-31T15:37:17.614;834.46
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:03:25.691;111.35
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:05:16.630;110.94
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:07:08.131;111.5
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:08:59.380;111.24
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:10:50.559;111.19
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:12:41.952;111.39
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:14:32.999;111.05
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:16:24.250;111.25
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:18:15.596;111.35
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:20:06.918;111.32
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:21:58.349;111.43
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:23:49.649;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:25:40.800;111.16
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:27:32.110;111.31
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:29:23.342;111.23
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:31:14.519;111.18
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:33:05.817;111.3
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:34:57.223;111.41
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:36:48.287;111.07
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:38:39.931;111.63
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:40:31.069;111.15
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:42:22.190;111.11
Relative_Arrival_Time_WS {mote: fd34::0017:0d00:0030:dabe, peripheral: 9903/9904/2, sampling_rate: 120};2019-01-31T13:44:13.614;111.42
