Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,833.81,0.506276150627615,0.15,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,833.81,0.506276150627615,0.15,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,833.91,0.2761506276150628,0.18,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,833.91,0.2761506276150628,0.18,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,834.01,0.07112970711297073,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,834.01,0.07112970711297073,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,834.01,0.07112970711297073,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,834.01,0.07112970711297073,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,834.11,0.004184100418409997,0.34,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,834.11,0.0,0.42,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,111.19,0.37059471365638763,0.43,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,111.19,0.37059471365638763,0.43,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,111.19,0.37059471365638763,0.43,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.19,0.37059471365638763,0.43,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.29,0.06883259911894268,0.5,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.29,0.06883259911894268,0.5,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,111.29,0.06883259911894268,0.5,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,111.29,0.06883259911894268,0.5,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,111.39,0.025330396475770955,0.59,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,111.39,0.0,108.22,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.1,819.21,0.6516393442622951,3.5,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,819.31,0.39754098360655743,3.49,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,819.31,0.39754098360655743,3.49,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,819.41,0.2008196721311475,3.53,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,819.41,0.2008196721311475,3.53,0.0
