Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,222.0,0.10926902788244164,126.44,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,222.1,0.07121326299924646,126.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,222.1,0.07121326299924646,126.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,222.1,0.07121326299924646,126.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,222.2,0.04822908816880178,126.61,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,222.2,0.04822908816880178,126.61,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,223.4,0.03956292388847027,127.7,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,223.9,0.013187641296156793,128.16,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,224.0,0.009419743782969059,128.26,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,224.0,0.0094,128.26,0.1491194
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,221.84,0.12467043314500936,126.43,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,222.04,0.08135593220338988,126.58,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,222.04,0.08135593220338988,126.58,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,222.14,0.05875706214689269,126.67,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,222.14,0.05875706214689269,126.67,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,222.24,0.04708097928436916,126.76,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,223.84,0.03389830508474578,128.21,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,223.94,0.015065913370998163,128.31,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,224.04,0.009792843691148745,128.41,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,224.04,0.0098,128.41,0.1494523
1010/9000|fd34::0017:0d00:0030:dadf,0.1,218.12,0.08935854653318498,124.24,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,218.12,0.08935854653318498,124.24,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,218.12,0.08935854653318498,124.24,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,218.62,0.057100482017055976,124.66,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,218.72,0.05524657026325552,124.75,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,219.12,0.027437893956247628,125.11,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,219.12,0.027437893956247628,125.11,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,219.22,0.018168335187245033,125.21,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.9,219.72,0.010381905821282955,125.69,0.0
1010/9000|fd34::0017:0d00:0030:dadf,1.0,219.72,0.0104,125.69,0.1493457
3302/5500|fd34::0017:0d00:0030:dadf,0.1,218.05,0.1250925240562546,124.19,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,218.15,0.0895632864544782,124.26,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,218.55,0.0758697261287935,124.59,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,218.65,0.05662472242783123,124.68,0.0
