Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,222.03,0.0914105594956659,124.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,222.03,0.0914105594956659,124.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,222.03,0.0914105594956659,124.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,222.13,0.07013396375098502,124.61,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,222.13,0.07013396375098502,124.61,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,222.23,0.049645390070921946,124.7,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,223.43,0.04176516942474384,125.78,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,223.93,0.013396375098502777,126.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,224.03,0.009850275807722575,126.34,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,224.03,0.0099,126.34,0.1578516
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,221.83,0.1313091482649842,124.31,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,222.03,0.09108832807570977,124.46,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,222.03,0.09108832807570977,124.46,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,222.13,0.06742902208201895,124.55,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,222.13,0.06742902208201895,124.55,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,222.23,0.04968454258675081,124.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,223.93,0.016167192429022093,126.18,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,223.93,0.016167192429022093,126.18,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,224.03,0.010646687697160928,126.28,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,224.03,0.0106,126.28,0.1583915
1010/9000|fd34::0017:0d00:0030:dadf,0.1,218.15,0.08872530027121273,122.33,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,218.15,0.08872530027121273,122.33,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,218.15,0.08872530027121273,122.33,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,218.55,0.07516466485858198,122.66,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,218.65,0.059279349089500166,122.74,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,219.05,0.04455637349864394,123.1,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,219.15,0.022084463386284336,123.19,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,219.15,0.022084463386284336,123.19,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.9,219.65,0.01162340178225496,123.67,0.0
1010/9000|fd34::0017:0d00:0030:dadf,1.0,219.65,0.0116,123.67,0.1579371
3302/5500|fd34::0017:0d00:0030:dadf,0.1,218.09,0.1103795507358637,122.24,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,218.09,0.1103795507358637,122.24,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,218.59,0.06312935708752909,122.65,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,218.59,0.06312935708752909,122.65,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.5,219.09,0.037567776917118545,123.09,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.6,219.09,0.037567776917118545,123.09,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.7,219.19,0.01742835011618904,123.19,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.8,219.19,0.01742835011618904,123.19,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.9,220.09,0.0038729666924864903,124.06,0.0
3302/5500|fd34::0017:0d00:0030:dadf,1.0,220.09,0.0039,124.06,0.1453886
1010/9000|fd34::0017:0d00:0030:dfe8,0.1,216.21,0.11299000768639511,121.15,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.2,216.81,0.10722521137586472,121.61,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.3,216.91,0.0810914681014604,121.69,0.0
