Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,834.65,0.540983606557377,0.18,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,834.65,0.540983606557377,0.18,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,834.75,0.33333333333333337,0.19,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,834.75,0.33333333333333337,0.19,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,834.75,0.33333333333333337,0.19,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,834.85,0.20218579234972678,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,834.85,0.20218579234972678,0.24,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,835.05,0.10928961748633881,0.38,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,835.25,0.04371584699453557,0.55,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,835.25,0.0,0.94,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,111.37,0.0814285714285714,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,111.37,0.0814285714285714,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,111.37,0.0814285714285714,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.37,0.0814285714285714,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.37,0.0814285714285714,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.47,0.02857142857142858,0.73,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,111.47,0.02857142857142858,0.73,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,111.47,0.02857142857142858,0.73,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,111.57,0.017857142857142905,0.83,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,111.57,0.0,108.95,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.1,819.52,0.7891891891891891,0.33,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,819.62,0.6270270270270271,0.29,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,819.72,0.4756756756756757,0.28,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,819.72,0.4756756756756757,0.28,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,819.82,0.43243243243243246,0.29,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,819.92,0.38378378378378375,0.31,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,820.12,0.2324324324324324,0.38,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,820.22,0.12972972972972974,0.44,0.0
