Device,Constraint,Timeout,MER,SL,BC
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,111.12,0.8775510204081632,0.98,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,111.22,0.6802721088435374,0.93,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,111.32,0.38095238095238093,0.91,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.32,0.38095238095238093,0.91,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.32,0.38095238095238093,0.91,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.42,0.23129251700680276,0.95,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,111.42,0.23129251700680276,0.95,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,111.52,0.12925170068027214,1.02,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,111.72,0.04081632653061229,1.18,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,111.72,0.0,108.75,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.1,109.12,0.7905405405405406,0.3,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,109.12,0.7905405405405406,0.3,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,109.22,0.6554054054054055,0.25,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,109.32,0.5405405405405406,0.23,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.5,109.42,0.3648648648648649,0.24,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.6,109.42,0.3648648648648649,0.24,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.7,109.52,0.22297297297297303,0.28,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.8,109.62,0.14189189189189189,0.34,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.9,109.82,0.060810810810810856,0.51,0.0
3302/5500|fd34::0017:0d00:0030:dadf,1.0,109.82,0.0,1.03,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.1,8.74,0.7314004376367615,0.45,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.2,8.84,0.6772428884026258,0.41,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.3,8.94,0.6356673960612691,0.38,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.4,9.14,0.4863238512035011,0.35,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.5,9.24,0.3041575492341356,0.37,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.6,9.34,0.20678336980306344,0.42,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.7,9.64,0.08698030634573306,0.63,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.8,9.84,0.03829321663019691,0.81,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.9,9.94,0.02789934354485779,0.9,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,1.0,9.94,0.0,5.21,0.0
