Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,835.01,0.4616467276565799,0.82,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,835.01,0.4616467276565799,0.82,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,835.11,0.1548205489092188,0.87,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,835.11,0.1548205489092188,0.87,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,835.11,0.1548205489092188,0.87,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,835.11,0.1548205489092188,0.87,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,835.81,0.08444757213230125,1.39,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,836.91,0.03870513722730473,2.33,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,837.11,0.02392681210415204,2.51,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,841.95,0.0239,2.51,0.9742814
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,110.69,0.6411002628614344,1.07,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,110.89,0.6146263612467142,1.02,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,110.89,0.6146263612467142,1.02,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.89,0.3784265865565152,0.96,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.99,0.20381149079984984,0.99,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.99,0.20381149079984984,0.99,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,112.09,0.09960570784829137,1.07,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,113.49,0.03586180998873456,2.28,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,113.89,0.01840030041306795,2.66,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,216.42,0.0184,2.66,0.7654695
1010/9000|fd34::0017:0d00:0030:dadf,0.1,819.38,0.2342778161713891,0.69,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,819.38,0.2342778161713891,0.69,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,819.38,0.2342778161713891,0.69,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,819.38,0.2342778161713891,0.69,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,819.78,0.17069799585349,0.9,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,819.88,0.14029025570145126,0.97,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,820.28,0.10504492052522463,1.27,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,820.38,0.044229440221147165,1.35,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.9,820.88,0.018659295093296446,1.81,0.0
1010/9000|fd34::0017:0d00:0030:dadf,1.0,823.25,0187,1.81,0.6965875
3302/5500|fd34::0017:0d00:0030:dadf,0.1,109.01,0.6249769074450398,0.66,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,109.01,0.6249769074450398,0.66,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,109.11,0.4210234620358396,0.65,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,109.21,0.3821355994827268,0.67,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.5,109.61,0.20302974321078882,0.78,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.6,109.61,0.20302974321078882,0.78,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.7,110.11,0.03408461112137451,1.12,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.8,110.11,0.03408461112137451,1.12,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.9,111.01,0.009791243303159058,1.97,0.0
3302/5500|fd34::0017:0d00:0030:dadf,1.0,215.23,0.0098,1.97,0.5290389
1010/9000|fd34::0017:0d00:0030:dfe8,0.1,813.4,0.5587628865979382,3.25,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.2,813.5,0.4219931271477664,3.26,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.3,814.0,0.38075601374570445,3.36,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.4,814.6,0.3127147766323024,3.55,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.5,815.4,0.15532646048109966,3.94,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.6,815.5,0.12920962199312713,4.02,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.7,816.1,0.08591065292096223,4.48,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.8,817.5,0.044673539518900296,5.69,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.9,818.2,0.01855670103092788,6.34,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,1.0,1531.83,0.0186,6.34,0.5412979
9803/9805|fd34::0017:0d00:0030:dfe8,0.1,8.5,0.6291777269493509,1.59,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.2,8.7,0.5734798008001653,1.55,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.3,8.8,0.5710701253796195,1.54,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.4,9.8,0.3983308216610696,1.54,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.5,9.9,0.224910689014175,1.59,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.6,10.9,0.13762689044774068,2.24,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.7,11.8,0.05923976652922591,2.97,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.8,14.6,0.013708375725771327,5.61,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.9,17.8,0.0033658958255241567,8.75,7.7e-06
9803/9805|fd34::0017:0d00:0030:dfe8,1.0,28.06,0.0034,8.75,0.1892072
1010/9000|fd34::0017:0d00:0030:e0fe,0.1,856.66,0.3395953757225434,2.07,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.2,856.66,0.3395953757225434,2.07,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.3,856.66,0.3395953757225434,2.07,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.4,857.06,0.2680635838150289,2.24,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.5,857.56,0.23121387283236994,2.49,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.6,858.26,0.1408959537572254,2.94,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.7,858.66,0.10187861271676302,3.23,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.8,860.26,0.03829479768786126,4.58,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.9,860.56,0.027456647398843903,4.86,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,1.0,1664.18,0.0275,4.86,0.7439689
8040/8042|fd34::0017:0d00:0030:e0fe,0.1,56.76,0.7501686096926486,1.18,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.2,56.96,0.6310338182869255,1.08,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.3,57.06,0.3124578475768378,1.1,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.4,57.06,0.3124578475768378,1.1,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.5,57.46,0.28114461894209464,1.26,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.6,58.36,0.17140379612679446,1.75,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.7,58.96,0.10212929954716254,2.18,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.8,60.06,0.05997687638500815,3.11,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.9,62.16,0.010742846131611916,5.09,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,1.0,82.51,0.0107,5.09,0.4949417
1010/9000|fd34::0017:0d00:0030:e3a0,0.1,807.64,0.5807770961145194,1.51,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.2,808.14,0.49625085207907293,1.48,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.3,808.24,0.47580095432856173,1.49,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.4,809.54,0.16223585548738928,1.72,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.5,809.54,0.16223585548738928,1.72,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.6,809.54,0.16223585548738928,1.72,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.7,810.14,0.11383776414451263,2.15,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.8,811.44,0.05453306066802999,3.2,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,0.9,812.24,0.023176550783912786,3.95,0.0
1010/9000|fd34::0017:0d00:0030:e3a0,1.0,819.28,0.0232,3.95,0.7229532
3303/5702|fd34::0017:0d00:0030:e3a0,0.1,106.77,0.7294813466787988,1.7,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.2,107.97,0.6033666969972702,1.24,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.3,108.07,0.3290263876251137,1.23,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.4,108.07,0.3290263876251137,1.23,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.5,108.07,0.3290263876251137,1.23,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.6,108.57,0.21392174704276612,1.5,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.7,109.97,0.10018198362147401,2.43,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.8,110.77,0.040309372156505874,3.14,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,0.9,112.77,0.008462238398544097,5.05,0.0
3303/5702|fd34::0017:0d00:0030:e3a0,1.0,206.99,0.0085,5.05,0.3988614
1010/9000|fd34::0017:0d00:0030:e3ca,0.1,821.29,0.6383866481223922,1.63,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.2,822.79,0.4186369958275382,1.52,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.3,823.29,0.21557719054242008,1.63,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.4,823.29,0.21557719054242008,1.63,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.5,823.29,0.21557719054242008,1.63,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.6,823.49,0.20445062586926288,1.75,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.7,824.19,0.12239221140472878,2.21,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.8,825.29,0.06397774687065372,3.08,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,0.9,825.89,0.029207232267037586,3.62,0.0
1010/9000|fd34::0017:0d00:0030:e3ca,1.0,829.64,0.0292,3.62,0.8058252
9803/9805|fd34::0017:0d00:0030:e3ca,0.1,54.21,0.733583055863855,1.35,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.2,55.01,0.45333888272290046,1.06,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.3,55.01,0.45333888272290046,1.06,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.4,55.01,0.45333888272290046,1.06,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.5,55.11,0.2530059193488716,1.1,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.6,55.11,0.2530059193488716,1.1,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.7,57.01,0.07514798372179066,2.38,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.8,57.71,0.042730299667036675,2.99,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,0.9,59.61,0.010543840177580477,4.81,0.0
9803/9805|fd34::0017:0d00:0030:e3ca,1.0,95.85,0.0105,4.81,0.5053659
1010/9000|fd34::0017:0d00:0030:e69f,0.1,833.06,0.6311706629055007,1.59,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.2,834.26,0.4576868829337094,1.57,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.3,834.86,0.41607898448519043,1.65,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.4,835.06,0.27926657263751764,1.7,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.5,835.06,0.27926657263751764,1.7,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.6,835.06,0.27926657263751764,1.7,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.7,835.96,0.09943582510578275,2.27,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.8,836.96,0.05571227080394925,3.12,0.0
1010/9000|fd34::0017:0d00:0030:e69f,0.9,837.96,0.016925246826516194,4.04,0.0
1010/9000|fd34::0017:0d00:0030:e69f,1.0,840.57,0.0169,4.04,0.7513268
3302/5500|fd34::0017:0d00:0030:e69f,0.1,110.65,0.5901500938086304,1.66,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.2,110.85,0.575328330206379,1.62,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.3,110.85,0.575328330206379,1.62,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.4,112.05,0.3289868667917448,1.57,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.5,112.05,0.3289868667917448,1.57,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.6,112.95,0.11013133208255155,2.07,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.7,113.25,0.10487804878048779,2.31,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.8,114.15,0.053095684803001864,3.08,0.0
3302/5500|fd34::0017:0d00:0030:e69f,0.9,115.25,0.01848030018761726,4.11,0.0
3302/5500|fd34::0017:0d00:0030:e69f,1.0,212.8,0.0185,4.11,0.6650885
1010/9000|fd34::0017:0d00:0030:e6a6,0.1,820.01,0.7217210270645384,2.46,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.2,821.21,0.6127689104788341,2.06,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.3,821.31,0.4018043025676613,2.05,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.4,821.31,0.4018043025676613,2.05,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.5,822.11,0.2866065232477446,2.3,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.6,823.01,0.18806384455239422,2.78,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.7,823.31,0.11797362942401113,2.98,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.8,824.31,0.06245662734212354,3.79,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,0.9,825.31,0.02359472588480227,4.7,0.0
1010/9000|fd34::0017:0d00:0030:e6a6,1.0,1548.75,0.0236,4.7,0.7548435
3302/5500|fd34::0017:0d00:0030:e6a6,0.1,108.61,0.6886321626617375,1.84,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.2,108.81,0.6441774491682071,1.77,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.3,109.41,0.5846580406654344,1.62,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.4,110.11,0.288909426987061,1.58,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.5,110.11,0.288909426987061,1.58,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.6,110.61,0.23077634011090575,1.8,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.7,111.51,0.12014787430683915,2.38,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.8,112.71,0.04852125693160814,3.38,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,0.9,113.91,0.019131238447319787,4.5,0.0
3302/5500|fd34::0017:0d00:0030:e6a6,1.0,217.4,0.0191,4.5,0.7544072
1010/9000|fd34::0017:0d00:0030:e72d,0.1,817.84,0.5737931034482759,1.47,0.0
