Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,833.51,0.7611940298507462,4.45,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,833.61,0.572139303482587,4.41,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,833.61,0.572139303482587,4.41,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,833.71,0.3880597014925373,4.42,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,833.81,0.34328358208955223,4.44,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,834.01,0.20398009950248752,4.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,834.01,0.20398009950248752,4.52,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,834.11,0.07960199004975121,4.6,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,834.41,0.03482587064676612,4.86,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,834.41,0.0,827.13,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,110.9,0.6524547803617571,0.66,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,111.0,0.6182170542635659,0.64,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,111.1,0.5820413436692506,0.62,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.3,0.29134366925064603,0.62,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.3,0.29134366925064603,0.62,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.4,0.17248062015503873,0.67,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,111.6,0.1027131782945736,0.81,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,111.7,0.02777777777777779,0.9,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,111.7,0.02777777777777779,0.9,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,111.7,0.0,107.7,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.1,818.89,0.8341463414634146,0.4,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,818.99,0.5853658536585367,0.36,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,818.99,0.5853658536585367,0.36,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,819.09,0.46341463414634143,0.35,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,819.49,0.36585365853658536,0.42,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,819.69,0.10243902439024388,0.51,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,819.69,0.10243902439024388,0.51,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,819.69,0.10243902439024388,0.51,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.9,819.79,0.039024390243902474,0.6,0.0
1010/9000|fd34::0017:0d00:0030:dadf,1.0,819.79,0.0,1.13,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.1,108.91,0.6304761904761904,0.68,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,108.91,0.6304761904761904,0.68,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,109.11,0.5917460317460317,0.63,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,109.51,0.24507936507936512,0.62,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.5,109.51,0.24507936507936512,0.62,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.6,109.51,0.24507936507936512,0.62,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.7,109.61,0.06920634920634916,0.69,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.8,109.61,0.06920634920634916,0.69,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.9,110.01,0.01777777777777778,1.06,0.0
3302/5500|fd34::0017:0d00:0030:dadf,1.0,110.01,0.0,105.61,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.1,813.24,0.8269230769230769,0.43,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.2,813.44,0.6057692307692308,0.33,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.3,813.44,0.6057692307692308,0.33,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.4,813.54,0.48557692307692313,0.32,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.5,813.64,0.3701923076923077,0.33,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.6,813.84,0.26442307692307687,0.4,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.7,814.04,0.1875,0.5,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.8,814.34,0.004807692307692291,0.73,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,0.9,814.34,0.004807692307692291,0.73,0.0
1010/9000|fd34::0017:0d00:0030:dfe8,1.0,814.34,0.0,0.84,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.1,8.96,0.6267310447286041,0.38,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.2,9.06,0.5284130100281212,0.37,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.3,9.06,0.5284130100281212,0.37,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.4,9.06,0.5284130100281212,0.37,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.5,9.26,0.2977131638987637,0.4,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.6,9.36,0.2338303178224651,0.45,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.7,9.46,0.1186395712845546,0.51,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.8,9.46,0.1186395712845546,0.51,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,0.9,9.96,0.014962593516209433,0.94,0.0
9803/9805|fd34::0017:0d00:0030:dfe8,1.0,9.96,0.0,39.97,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.1,856.58,0.595,4.61,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.2,856.58,0.595,4.61,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.3,856.58,0.595,4.61,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.4,856.68,0.38,4.62,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.5,856.68,0.38,4.62,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.6,856.88,0.31499999999999995,4.68,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.7,857.18,0.20499999999999996,4.83,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.8,857.48,0.135,5.02,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,0.9,857.88,0.05500000000000005,5.34,0.0
1010/9000|fd34::0017:0d00:0030:e0fe,1.0,857.88,0.0,847.45,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.1,56.65,0.6517561298873427,0.73,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.2,57.05,0.5,0.67,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.3,57.05,0.5,0.67,0.0
8040/8042|fd34::0017:0d00:0030:e0fe,0.4,57.35,0.3538767395626242,0.7,0.0
