Device,Constraint,Timeout,MER,SL,BC
1010/9000|fd34::0017:0d00:0030:dabe,0.1,834.19,0.7353951890034365,3.73,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.2,834.69,0.6219931271477663,3.55,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.3,834.79,0.5395189003436427,3.54,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.4,834.89,0.4914089347079038,3.54,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.5,835.09,0.40893470790378006,3.56,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.6,835.39,0.3127147766323024,3.63,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.7,835.59,0.19587628865979378,3.73,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.8,835.89,0.14089347079037806,3.92,0.0
1010/9000|fd34::0017:0d00:0030:dabe,0.9,836.19,0.04123711340206182,4.16,0.0
1010/9000|fd34::0017:0d00:0030:dabe,1.0,836.19,0.0,763.46,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.1,111.12,0.667583677212288,0.56,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.2,111.32,0.48418156808803303,0.52,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.3,111.32,0.48418156808803303,0.52,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.4,111.42,0.42870243007794595,0.53,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.5,111.62,0.2255845942228336,0.59,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.6,111.92,0.1471801925722146,0.77,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.7,112.22,0.06877579092159558,1.0,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.8,112.42,0.04172397982576803,1.17,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,0.9,112.52,0.03438789546079779,1.26,0.0
9903/9904/2|fd34::0017:0d00:0030:dabe,1.0,112.52,0.0,95.65,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.1,819.37,0.8333333333333334,6.23,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.2,819.77,0.6836734693877551,6.02,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.3,819.97,0.4659863945578231,5.98,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.4,819.97,0.4659863945578231,5.98,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.5,820.17,0.2925170068027211,6.02,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.6,820.37,0.12585034013605445,6.11,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.7,820.37,0.12585034013605445,6.11,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.8,820.47,0.08843537414965985,6.19,0.0
1010/9000|fd34::0017:0d00:0030:dadf,0.9,820.87,0.04421768707482998,6.54,0.0
1010/9000|fd34::0017:0d00:0030:dadf,1.0,820.87,0.0,723.03,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.1,109.2,0.6375056078959174,0.46,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.2,109.2,0.6375056078959174,0.46,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.3,109.3,0.525347689546882,0.44,0.0
3302/5500|fd34::0017:0d00:0030:dadf,0.4,109.4,0.3862718707940781,0.44,0.0
